Charge,2019,2020,2021,2022,2023,Total Cases 2023,Average Days to Dispo 2023,Median Days to Dispo 2023
Public order offense - other,93.0000,,,,,,,
Residential burglary,233.5000,,,,,,,
Retail theft,81.0000,,,,,,,
Robbery/aggravated robbery,222.0000,,,,,,,
Sex offense - other,330.0000,,,,,,,
Sex offenses involving children,469.0000,,,,,,,
Stalking/aggravated stalking/cyberstalking,268.5000,,,,,,,
Theft,130.0000,,,,,,,
Unlawful possession of a firearm by a street gang member,206.5000,,,,,,,
Unlawful possession/purchase of firearms and firearms ammunition,212.5000,,,,,,,
Unlawful restraint/forcible detention,233.0000,,,,,,,
Unlawful use of a weapon,133.5000,,,,,,,
Unlawful use of a weapon by a felon,283.5000,,,,,,,
Unlawful use of or possession of fraudulent ID,121.5000,,,,,,,
Unlawful/aggravated/reckless discharge of firearm,247.0000,,,,,,,
Vehicle-related offense - other,63.0000,,,,,,,
Vehicular hijacking with a firearm,337.5000,,,,,,,
Vehicular hijacking/aggravated vehicular hijacking,305.0000,,,,,,,
Vehicular invasion/trespass to vehicle,64.0000,,,,,,,
Violation of order of protection/no stalking,92.5000,,,,,,,
Warrant,33.0000,,,,,,,
Weapons offense - other,188.0000,,,,,,,
Total,137.0000,,,,,,,
Aggravated battery with a firearm,291.0000,,,,,,,
Aggravated unlawful use of a weapon,204.0000,,,,,,,
Armed habitual criminal,362.0000,,,,,,,
Armed robbery,371.0000,,,,,,,
Armed robbery with a firearm,249.0000,,,,,,,
Armed violence,328.0000,,,,,,,
Arson/possession of explosives,307.0000,,,,,,,
Assault/aggravated assault,50.0000,,,,,,,
Battery/aggravated battery,117.0000,,,,,,,
Battery/assault/neglect - other,61.0000,,,,,,,
Bribery/official misconduct/money laundering/racketeering,478.0000,,,,,,,
Bringing contraband in a penal institution,231.0000,,,,,,,
Burglary,242.0000,,,,,,,
Cannabis/controlled substance trafficking or drug conspiracy,283.5000,,,,,,,
Child pornography,303.0000,,,,,,,
Criminal damage to property/institutional vandalism,72.0000,,,,,,,
Criminal sexual abuse/aggravated criminal sexual abuse,380.0000,,,,,,,
Criminal sexual assault/aggravated criminal sexual assault,457.0000,,,,,,,
Criminal trespass to a residence/property,52.0000,,,,,,,
Delivery of cannabis on school grounds,154.0000,,,,,,,
Delivery of cannabis/controlled substance to person under 18,50.0000,,,,,,,
Disorderly conduct,95.0000,,,,,,,
Domestic battery/aggravated domestic battery,27.0000,,,,,,,
Driving on a suspended license,118.0000,,,,,,,
Driving without a license,73.0000,,,,,,,
Driving without insurance,67.5000,,,,,,,
Drug offense - other,62.5000,,,,,,,
DUI,222.0000,,,,,,,
Escape/aiding escape,191.0000,,,,,,,
Failing to report a death,203.5000,,,,,,,
"Failure to register as arsonist, sex offender, child murder",107.0000,,,,,,,
Fleeing or eluding police,201.0000,,,,,,,
Forgery,207.0000,,,,,,,
Fraud - Credit card,219.0000,,,,,,,
Fraud - other,235.5000,,,,,,,
Gunrunning/unlawful sale or delivery of firearms,333.5000,,,,,,,
Hate crime,296.0000,,,,,,,
Home invasion,330.0000,,,,,,,
Home invasion with a firearm,390.0000,,,,,,,
Human trafficking/involuntary servitude,328.0000,,,,,,,
Identity theft,254.0000,,,,,,,
Intimidation/threats,216.0000,,,,,,,
Kidnapping/aggravated kidnapping,394.5000,,,,,,,
Manufacture/delivery of cannabis/controlled substance,102.0000,,,,,,,
Mob action,39.0000,,,,,,,
"Murder - attempt, conspiracy, solicitation",659.0000,,,,,,,
Murder - first degree,227.0000,,,,,,,
Murder - second degree/involuntary mansl/reckless homicide/drug,467.0000,,,,,,,
Obstructing justice/resisting or obstructing peace officer,116.0000,,,,,,,
Offenses harming children,197.0000,,,,,,,
Perjury/communicating or harassing witnesses/contempt,116.0000,,,,,,,
Possession of cannabis/controlled substance,50.0000,,,,,,,
Possession of stolen motor vehicle,210.0000,,,,,,,
Property Offense - Other,68.5000,,,,,,,
Prostitution-related offenses,90.5000,,,,,,,
Public order offense - other,58.0000,,,,,,,
Residential burglary,264.0000,,,,,,,
Retail theft,61.0000,,,,,,,
Robbery/aggravated robbery,261.5000,,,,,,,
Sex offense - other,180.0000,,,,,,,
Sex offenses involving children,480.0000,,,,,,,
Stalking/aggravated stalking/cyberstalking,216.5000,,,,,,,
Theft,90.0000,,,,,,,
Unlawful possession of a firearm by a street gang member,230.0000,,,,,,,
Unlawful possession/purchase of firearms and firearms ammunition,188.0000,,,,,,,
Unlawful restraint/forcible detention,190.0000,,,,,,,
Unlawful use of a weapon,154.0000,,,,,,,
Unlawful use of a weapon by a felon,315.0000,,,,,,,
Unlawful use of or possession of fraudulent ID,136.0000,,,,,,,
Unlawful/aggravated/reckless discharge of firearm,296.0000,,,,,,,
Vehicle-related offense - other,57.0000,,,,,,,
Vehicular hijacking with a firearm,415.0000,,,,,,,
Vehicular hijacking/aggravated vehicular hijacking,398.5000,,,,,,,
Vehicular invasion/trespass to vehicle,50.0000,,,,,,,
Violation of order of protection/no stalking,64.0000,,,,,,,
Warrant,35.0000,,,,,,,
Weapons offense - other,185.5000,,,,,,,
Total,91.0000,,,,,,,
